1936
e    15  17  985690   2.97000000000025E-0001
e    16  17  977451   2.50999999999840E+0000
e    17  17  973763   1.53000000000065E+0000
n    18  17  968852  -7.57699999999022E+0001
b    19  17  968306   9.45000000000000E+0012
n    20  17  965903  -2.42300000000105E+0001
b    21  17  968010   2.23200000000000E+0003
b    22  17  968005   3.34200000000000E+0003
b    23  17  970440   8.09999999998836E+0001
b    24  17  970590   3.40000000000000E+0001
e    14  18  997660   1.00000000000023E-0001
e    15  18  989930   1.69999999999959E-0002
e    16  18  980269   8.44000000000051E-0001
e    17  18  975256   1.78000000000065E+0000
n    18  18  967545  -3.37000000000444E-0001
e    19  18  966776   3.02400000000000E+0006
n    20  18  962732  -6.30000000001019E-0002
b    21  18  964314   8.47350000000000E+0009
n    22  18  962384  -9.95999999999767E+0001
b    23  18  964501   6.58800000000745E+0003
b    24  18  963050   1.03950000000000E+0009
b    25  18  965670   3.24000000000000E+0002
b    26  18  963650   7.14000000000000E+0002
b    27  18  968090   2.10000000000000E+0001
e    16  19  988011   1.90000000000055E-0001
e    17  19  981293   3.42000000000098E-0001
e    18  19  973377   1.23000000000138E+0000
e    19  19  969080   4.56600000000093E+0002
n    20  19  963707  -9.32600000000093E+0001
b    21  19  963999   4.03200000000655E+0016
n    22  19  961825  -6.72999999999593E+0000
b    23  19  962402   4.46400000000000E+0004
b    24  19  960717   8.02800000000000E+0004
b    25  19  960156   1.32600000000000E+0003
b    26  19  960696   1.02000000000000E+0003
b    27  19  961976   1.15000000000000E+0002
b    28  19  961677   1.75000000000000E+0001
b    29  19  965514   6.90000000000000E+0001
b    30  19  966940   1.29999999999927E+0000
e    16  20  993090   1.00000000000023E-0001
e    17  20  985873   1.74999999999955E-0001
e    18  20  976318   4.40000000000055E-0001
e    19  20  970718   8.60000000000582E-0001
n    20  20  962591  -9.69400000000605E+0001
e    21  20  962278   3.15000000000000E+0012
n    22  20  958618  -6.46999999999935E-0001
n    23  20  958766  -1.35000000000218E-0001
n    24  20  955480  -2.09000000000015E+0000
b    25  20  956185   1.42560000000000E+0007
n    26  20  953689  -3.50000000000250E-0003
b    27  20  954543   3.92256000000000E+0005
n    28  20  952533  -1.87000000000126E-0001
b    29  20  955672   5.23200000000186E+0002
b    30  20  957519   1.40000000000000E+0001
b    31  20  961420   1.00000000000000E+0001
e    19  21  977963   1.82000000000016E-0001
e    20  21  969250   5.96000000000458E-0001
e    21  21  965514   6.80000000000291E-0001
e    22  21  961150   1.40040000000000E+0004
e    23  21  959404   1.41480000000000E+0004
n    24  21  955910  -1.00000000000000E+0002
b    25  21  955170   7.24032000000763E+0006
b    26  21  952409   2.89440000000000E+0005
b    27  21  952235   1.57320000000000E+0005
b    28  21  950022   3.42000000000000E+0003
b    29  21  952186   1.02600000000093E+0002
b    30  21  953602   1.23999999999942E+0001
e    19  22  983150   7.99999999999272E-0002
e    20  22  973031   2.00000000000045E-0001
e    21  22  968523   4.90000000000236E-0001
e    22  22  959690   1.48050000000000E+0009
e    23  22  958124   1.10808000000119E+0004
n    24  22  952429  -8.19999999999709E+0000
n    25  22  951764  -7.40000000000146E+0000
n    26  22  947947  -7.36999999999534E+0001
n    27  22  947871  -5.40000000000146E+0000
n    28  22  944792  -5.19999999999709E+0000
b    29  22  946616   3.45599999999627E+0002
b    30  22  946898   1.02000000000000E+0002
b    31  22  949730   3.27000000000116E+0001
e    21  23  974450   9.00000000000318E-0002
e    23  23  960198   2.20000000000027E-0001
e    24  23  954906   1.87800000000000E+0003
e    25  23  952257   1.38067200000000E+0006
e    26  23  948517   2.85984000000000E+0007
n    27  23  947161  -2.50000000000000E-0001
n    28  23  943962  -9.97500000000000E+0001
b    29  23  944778   2.25600000000093E+0002
b    30  23  944340   9.66000000000931E+0001
b    31  23  946442   4.97999999999884E+0001
b    32  23  947240   6.50000000000000E+0000
e    21  24  979110   5.00000000000114E-0002
e    22  24  968360   2.60000000000218E-0001
e    23  24  962905   5.10000000000218E-0001
e    24  24  954033   7.77600000000000E+0004
e    25  24  951338   2.51400000000000E+0003
n    26  24  946046  -4.35000000000582E+0000
e    27  24  944768   2.39328000000000E+0006
n    28  24  940510  -8.37899999999208E+0001
n    29  24  940651  -9.50000000000000E+0000
n    30  24  938882  -2.36000000000058E+0000
b    31  24  940842   2.10000000000000E+0002
b    32  24  940643   3.54000000000000E+0002
b    33  24  943440   2.10000000000000E+0001
e    24  25  951338   3.80000000000109E-0001
e    25  25  954239   2.38000000000056E-0001
e    26  25  948213   2.77200000000000E+0003
e    27  25  945568   4.82975999999523E+0005
e    28  25  941291   1.16550000000000E+0014
e    29  25  940361   2.69568000000000E+0007
n    30  25  938047  -1.00000000000000E+0002
b    31  25  938906   9.28439999999106E+0003
b    32  25  938285   8.69999999998836E+0001
b    33  25  940060   6.50000000000000E+0001
b    34  25  940440   4.59999999999854E+0000
b    35  25  943210   1.80000000000109E+0000
e    25  26  956825   2.50000000000000E-0001
e    26  26  948114   2.98080000000000E+0004
e    27  26  945310   5.10599999999627E+0002
n    28  26  939612  -5.80000000000291E+0000
