0 -2.02486995201980E+0000 1  0.00000000000000E+0000
0 -5.00016092454644E-0001 2  0.00000000000000E+0000
0 -2.22222418812862E-0001 3  0.00000000000000E+0000
0 -1.25000198041334E-0001 4  0.00000000000000E+0000
0 -8.00002185669655E-0002 5  0.00000000000000E+0000
0 -5.55557931318731E-0002 6  0.00000000000000E+0000
0 -4.08165844306154E-0002 7  0.00000000000000E+0000
0 -3.12502717977168E-0002 8  0.00000000000000E+0000
0 -2.46916384964777E-0002 9  0.00000000000000E+0000
0 -2.00002944225446E-0002 10  0.00000000000000E+0000
0 -1.65292303322246E-0002 11  0.00000000000000E+0000
0 -1.38892103968828E-0002 12  0.00000000000000E+0000
0 -1.18346454905378E-0002 13  0.00000000000000E+0000
0 -1.02044192409210E-0002 14  0.00000000000000E+0000
0 -8.88923603251612E-0003 15  0.00000000000000E+0000
0 -7.81286440246731E-0003 16  0.00000000000000E+0000
0 -6.92078550797248E-0003 17  0.00000000000000E+0000
0 -6.17321414858196E-0003 18  0.00000000000000E+0000
0 -5.54055335244641E-0003 19  0.00000000000000E+0000
0 -5.00039838354382E-0003 20  0.00000000000000E+0000
0 -4.53555582885912E-0003 21  0.00000000000000E+0000
0 -4.13263903893579E-0003 22  0.00000000000000E+0000
0 -3.78113384033085E-0003 23  0.00000000000000E+0000
0 -3.47265429823196E-0003 24  0.00000000000000E+0000
0 -3.20043803087344E-0003 25  0.00000000000000E+0000
1  2.17038494519875E+0000 0  0.00000000000000E+0000
1  4.53335761761764E-0003 1  1.00560991118618E+0000
1 -2.39993710293447E-0001 2  3.20019548561049E-0001
1 -1.60000181585929E-0001 3  1.20000842043623E-0001
1 -1.03806434045282E-0001 4  5.53643987716441E-0002
1 -7.10061426265156E-0002 5  2.95871449356753E-0002
1 -5.11324515011324E-0002 6  1.75326598740639E-0002
1 -3.84002543305542E-0002 7  1.12018842472565E-0002
1 -2.98227600627285E-0002 8  7.57611809372349E-0003
1 -2.37956412940434E-0002 9  5.35637875399431E-0003
1 -1.94101555075008E-0002 10  3.92387594359889E-0003
1 -1.61250100539689E-0002 11  2.95915619579645E-0003
1 -1.36031722839220E-0002 12  2.28622692011982E-0003
1 -1.16266294177194E-0002 13  1.80280780112874E-0003
1 -1.00495582252051E-0002 14  1.44673329010381E-0003
1 -8.77159467384558E-0003 15  1.17875813939783E-0003
1 -7.72189905285359E-0003 16  9.73284504952154E-0004
1 -6.84936343518672E-0003 17  8.13137475491388E-0004
1 -6.11635442167824E-0003 18  6.86502141938661E-0004
1 -5.49472812633667E-0003 19  5.85072629767147E-0004
