 932
b    27  19  961976   1.15000000000000E+0002
b    28  19  961677   1.75000000000000E+0001
e    18  20  976318   4.40000000000055E-0001
e    19  20  970718   8.60000000000582E-0001
n    20  20  962591  -9.69400000000605E+0001
e    21  20  962278   3.15000000000000E+0012
n    22  20  958618  -6.46999999999935E-0001
n    23  20  958766  -1.35000000000218E-0001
n    24  20  955481  -2.09000000000015E+0000
b    25  20  956185   1.42560000000000E+0007
n    26  20  953689  -3.50000000000250E-0003
b    27  20  954543   3.92256000000000E+0005
n    28  20  952533  -1.87000000000126E-0001
b    29  20  955672   5.23200000000186E+0002
b    30  20  957519   1.40000000000000E+0001
e    21  21  965514   6.80000000000291E-0001
e    22  21  961150   1.40040000000000E+0004
e    23  21  959404   1.41480000000000E+0004
n    24  21  955910  -1.00000000000000E+0002
b    25  21  955170   7.24032000000763E+0006
b    26  21  952409   2.89440000000000E+0005
b    27  21  952235   1.57320000000000E+0005
b    28  21  950022   3.42000000000000E+0003
b    29  21  952186   1.02600000000093E+0002
e    21  22  968523   5.10000000000218E-0001
e    22  22  959690   1.70100000000000E+0009
e    23  22  958124   1.11240000000000E+0004
n    24  22  952629  -8.19999999999709E+0000
n    25  22  951764  -7.40000000000146E+0000
n    26  22  947947  -7.36999999999534E+0001
n    27  22  947871  -5.40000000000146E+0000
n    28  22  944792  -5.19999999999709E+0000
n    29  22  946616  -5.19999999999709E+0000
b    30  22  946898   1.02000000000000E+0002
b    31  22  949730   3.30000000000000E+0001
e    23  23  960198   4.20000000000073E-0001
e    24  23  954906   1.95599999999814E+0003
e    25  23  952257   1.38240000000000E+0006
e    26  23  948517   2.85120000000000E+0007
n    27  23  947161  -2.50000000000000E-0001
n    28  23  943962  -9.97500000000000E+0001
b    29  23  944778   2.25600000000093E+0002
b    30  23  944340   9.60000000000000E+0001
b    31  23  946442   5.00000000000000E+0001
e    22  24  968360   2.60000000000218E-0001
e    23  24  962905   5.10000000000218E-0001
e    24  24  954033   7.77600000000000E+0004
e    25  24  951338   2.51400000000000E+0003
n    26  24  946046  -4.35000000000582E+0000
e    27  24  944768   2.39328000000000E+0006
n    28  24  940510  -8.37899999999208E+0001
n    29  24  940651  -9.50000000000000E+0000
n    30  24  938882  -2.36000000000058E+0000
b    31  24  940842   2.10000000000000E+0002
b    32  24  940643   3.54000000000000E+0002
e    25  25  954240   2.80000000000200E-0001
e    26  25  948213   2.77200000000000E+0003
e    27  25  945568   4.82975999999523E+0005
e    28  25  941291   1.16550000000000E+0014
e    29  25  940361   2.69568000000000E+0007
n    30  25  938047  -1.00000000000000E+0002
b    31  25  938907   9.28800000000000E+0003
b    32  25  938285   9.60000000000000E+0001
b    33  25  940060   6.50000000000000E+0001
e    25  26  956825   2.50000000000000E-0001
e    26  26  948114   2.97720000000000E+0004
e    27  26  945310   5.10599999999627E+0002
n    28  26  939613  -5.80000000000291E+0000
e    29  26  938296   8.50500000000000E+0007
n    30  26  934939  -9.18000000000466E+0001
n    31  26  935396  -2.14999999999782E+0000
n    32  26  933277  -2.89999999999964E-0001
b    33  26  934877   3.85343999999619E+0006
b    34  26  934078   4.72500000000000E+0013
b    35  26  936748   3.60000000000000E+0002
b    36  26  936773   6.80000000000000E+0001
e    27  27  948460   1.90000000000055E-0001
e    28  27  942001   6.30000000000000E+0004
e    29  27  939841   6.80832000000763E+0006
e    30  27  936294   2.34144000000000E+0007
e    31  27  935755   6.11712000000763E+0006
n    32  27  933198  -1.00000000000000E+0002
b    33  27  933820   1.66005000000000E+0008
b    34  27  932478   5.94000000000000E+0003
b    35  27  934060   9.00000000000000E+0001
b    36  27  933614   2.75000000000000E+0001
e    27  28  951336   1.90000000000055E-0001
e    28  28  942134   5.27040000000000E+0005
e    29  28  939799   1.29600000000000E+0005
n    30  28  935346  -6.83000000000466E+0001
e    31  28  934349   2.36250000000000E+0012
n    32  28  930788  -2.61000000000058E+0001
n    33  28  931058  -1.13000000000102E+0000
n    34  28  928346  -3.59000000000015E+0000
b    35  28  929670   3.15000000000000E+0009
n    36  28  927968  -9.10000000000764E-0001
b    37  28  930086   9.07200000000000E+0003
b    38  28  929116   1.97280000000000E+0005
b    39  28  931570   2.10000000000000E+0001
e    30  29  939503   8.20000000000000E+0001
e    31  29  937376   1.40400000000000E+0003
e    32  29  933461   1.22760000000000E+0004
e    33  29  932586   5.83799999999814E+0002
n    34  29  929599  -6.91999999999534E+0001
e    35  29  929766   4.57200000000000E+0004
n    36  29  927793  -3.07999999999884E+0001
b    37  29  928872   3.06000000000000E+0002
b    38  29  927747   2.22840000000000E+0005
b    39  29  929620   3.10000000000000E+0001
e    31  30  939514   8.90000000000000E+0001
e    32  30  934332   3.31200000000000E+0004
e    33  30  933214   2.28600000000000E+0003
n    34  30  929145  -4.85999999999767E+0001
e    35  30  929243   2.10816000000000E+0007
n    36  30  926035  -2.78999999999942E+0001
n    37  30  927129  -4.09999999999854E+0000
n    38  30  924846  -1.87999999999884E+0001
b    39  30  926552   3.36000000000000E+0003
n    40  30  925325  -6.20000000000800E-0001
b    41  30  927727   1.44000000000000E+0002
b    42  30  926856   1.67400000000000E+0005
b    43  30  929780   2.40000000000000E+0001
e    33  31  936836   1.56000000000000E+0002
e    34  31  932738   9.12000000000000E+0002
e    35  31  931590   3.38400000000000E+0004
e    36  31  928204   2.81880000000000E+0005
e    37  31  927982   4.08600000000000E+0003
n    38  31  925580  -6.00999999999767E+0001
b    39  31  926028   1.26600000000000E+0003
n    40  31  924701  -3.99000000000233E+0001
b    41  31  926365   5.07600000000000E+0004
b    42  31  925169   1.75320000000000E+0004
b    43  31  926940   4.86000000000466E+0002
b    44  31  926499   1.25999999999884E+0002
e    34  32  933847   8.28000000000000E+0003
e    35  32  932737   1.14000000000000E+0003
e    36  32  928096   2.34144000000000E+0007
e    37  32  927969   1.40400000000000E+0005
n    38  32  924250  -2.05000000000000E+0001
e    39  32  924954   9.67680000000000E+0005
n    40  32  922079  -2.73999999999942E+0001
n    41  32  923463  -7.80000000000291E+0000
n    42  32  921177  -3.65000000000000E+0001
b    43  32  922858   4.96800000000000E+0003
n    44  32  921402  -7.80000000000291E+0000
b    45  32  923548   4.06800000000000E+0004
b    46  32  922853   5.21999999999255E+0003
b    47  32  925360   1.90000000000000E+0001
e    37  33  930929   3.18000000000000E+0003
e    38  33  927114   2.19600000000000E+0005
e    39  33  926755   9.36000000000000E+0004
e    40  33  923827   6.93792000000763E+0006
e    41  33  923928   1.53791999999809E+0006
n    42  33  921594  -1.00000000000000E+0002
b    43  33  922393   9.46800000000000E+0004
b    44  33  920466   1.39680000000000E+0005
b    45  33  921830   5.46000000000000E+0003
b    46  33  920946   5.40000000000000E+0002
e    37  34  932270   2.82000000000000E+0002
